product_id,product_name,brand,category,cocoa_percent,weight_g,full_product_name
P0031,White Chocolate 80%,Godiva,Praline,80,80,Godiva White Chocolate 80% (Praline) - 80g
P0032,Praline Chocolate 70%,Ferrero,Dark,70,200,Ferrero Praline Chocolate 70% (Dark) - 200g
P0033,White Chocolate 90%,Hershey,Praline,90,120,Hershey White Chocolate 90% (Praline) - 120g
P0034,White Chocolate 60%,Godiva,Praline,60,100,Godiva White Chocolate 60% (Praline) - 100g
P0035,White Chocolate 70%,Hershey,Dark,70,200,Hershey White Chocolate 70% (Dark) - 200g
P0036,Dark Chocolate 50%,Lindt,Praline,50,50,Lindt Dark Chocolate 50% (Praline) - 50g
P0037,Truffle Chocolate 60%,Hershey,White,60,120,Hershey Truffle Chocolate 60% (White) - 120g
P0038,White Chocolate 50%,Cadbury,Milk,50,100,Cadbury White Chocolate 50% (Milk) - 100g
P0039,Truffle Chocolate 90%,Ferrero,White,90,50,Ferrero Truffle Chocolate 90% (White) - 50g
P0040,Dark Chocolate 60%,Mars,Praline,60,80,Mars Dark Chocolate 60% (Praline) - 80g
P0041,Milk Chocolate 70%,Cadbury,Praline,70,80,Cadbury Milk Chocolate 70% (Praline) - 80g
P0042,Praline Chocolate 50%,Ferrero,Truffle,50,120,Ferrero Praline Chocolate 50% (Truffle) - 120g
P0043,Truffle Chocolate 90%,Lindt,Praline,90,200,Lindt Truffle Chocolate 90% (Praline) - 200g
P0044,White Chocolate 50%,Ferrero,Praline,50,100,Ferrero White Chocolate 50% (Praline) - 100g
P0045,Milk Chocolate 80%,Godiva,Truffle,80,50,Godiva Milk Chocolate 80% (Truffle) - 50g
P0046,Dark Chocolate 50%,Cadbury,White,50,120,Cadbury Dark Chocolate 50% (White) - 120g
P0047,Truffle Chocolate 70%,Mars,Dark,70,200,Mars Truffle Chocolate 70% (Dark) - 200g
P0048,Praline Chocolate 90%,Cadbury,Milk,90,50,Cadbury Praline Chocolate 90% (Milk) - 50g
P0049,Milk Chocolate 60%,Ferrero,Truffle,60,50,Ferrero Milk Chocolate 60% (Truffle) - 50g
P0050,Praline Chocolate 60%,Ferrero,Truffle,60,50,Ferrero Praline Chocolate 60% (Truffle) - 50g
P0051,Milk Chocolate 80%,Lindt,Truffle,80,200,Lindt Milk Chocolate 80% (Truffle) - 200g
P0052,Dark Chocolate 90%,Cadbury,Praline,90,100,Cadbury Dark Chocolate 90% (Praline) - 100g
P0053,Milk Chocolate 60%,Ferrero,White,60,100,Ferrero Milk Chocolate 60% (White) - 100g
P0054,Truffle Chocolate 80%,Lindt,Praline,80,50,Lindt Truffle Chocolate 80% (Praline) - 50g
P0055,Milk Chocolate 60%,Lindt,Milk,60,100,Lindt Milk Chocolate 60% (Milk) - 100g
P0056,Dark Chocolate 50%,Lindt,Praline,50,120,Lindt Dark Chocolate 50% (Praline) - 120g
P0057,Truffle Chocolate 90%,Cadbury,Milk,90,80,Cadbury Truffle Chocolate 90% (Milk) - 80g
P0058,Truffle Chocolate 80%,Lindt,Dark,80,120,Lindt Truffle Chocolate 80% (Dark) - 120g
P0059,Praline Chocolate 50%,Godiva,White,50,80,Godiva Praline Chocolate 50% (White) - 80g
P0060,Milk Chocolate 70%,Mars,Praline,70,120,Mars Milk Chocolate 70% (Praline) - 120g
P0061,Truffle Chocolate 50%,Lindt,Milk,50,200,Lindt Truffle Chocolate 50% (Milk) - 200g
P0062,Truffle Chocolate 80%,Mars,Dark,80,120,Mars Truffle Chocolate 80% (Dark) - 120g
P0063,Praline Chocolate 90%,Lindt,White,90,100,Lindt Praline Chocolate 90% (White) - 100g
P0064,Dark Chocolate 50%,Ferrero,Milk,50,200,Ferrero Dark Chocolate 50% (Milk) - 200g
P0065,White Chocolate 80%,Ferrero,Dark,80,80,Ferrero White Chocolate 80% (Dark) - 80g
P0066,White Chocolate 80%,Ferrero,Praline,80,80,Ferrero White Chocolate 80% (Praline) - 80g
P0067,Praline Chocolate 80%,Mars,Praline,80,120,Mars Praline Chocolate 80% (Praline) - 120g
P0068,Praline Chocolate 50%,Hershey,Truffle,50,80,Hershey Praline Chocolate 50% (Truffle) - 80g
P0069,White Chocolate 90%,Cadbury,Milk,90,120,Cadbury White Chocolate 90% (Milk) - 120g
P0070,White Chocolate 90%,Ferrero,Milk,90,200,Ferrero White Chocolate 90% (Milk) - 200g
P0071,Praline Chocolate 70%,Cadbury,Dark,70,100,Cadbury Praline Chocolate 70% (Dark) - 100g
P0072,Truffle Chocolate 90%,Ferrero,White,90,100,Ferrero Truffle Chocolate 90% (White) - 100g
P0073,Milk Chocolate 50%,Mars,Praline,50,80,Mars Milk Chocolate 50% (Praline) - 80g
P0074,Dark Chocolate 90%,Hershey,Truffle,90,80,Hershey Dark Chocolate 90% (Truffle) - 80g
P0075,Praline Chocolate 70%,Godiva,White,70,200,Godiva Praline Chocolate 70% (White) - 200g
P0076,White Chocolate 60%,Mars,Truffle,60,50,Mars White Chocolate 60% (Truffle) - 50g
P0077,Truffle Chocolate 70%,Cadbury,Praline,70,100,Cadbury Truffle Chocolate 70% (Praline) - 100g
P0078,Dark Chocolate 60%,Cadbury,White,60,120,Cadbury Dark Chocolate 60% (White) - 120g
P0079,White Chocolate 80%,Hershey,Praline,80,50,Hershey White Chocolate 80% (Praline) - 50g
P0080,Praline Chocolate 70%,Hershey,White,70,200,Hershey Praline Chocolate 70% (White) - 200g
P0081,Truffle Chocolate 90%,Cadbury,White,90,100,Cadbury Truffle Chocolate 90% (White) - 100g
P0082,Praline Chocolate 60%,Ferrero,Milk,60,120,Ferrero Praline Chocolate 60% (Milk) - 120g
P0083,Truffle Chocolate 70%,Cadbury,White,70,200,Cadbury Truffle Chocolate 70% (White) - 200g
P0084,Truffle Chocolate 50%,Hershey,White,50,100,Hershey Truffle Chocolate 50% (White) - 100g
P0085,Truffle Chocolate 80%,Hershey,White,80,50,Hershey Truffle Chocolate 80% (White) - 50g
P0086,Truffle Chocolate 80%,Cadbury,Truffle,80,120,Cadbury Truffle Chocolate 80% (Truffle) - 120g
P0087,Truffle Chocolate 60%,Godiva,Dark,60,100,Godiva Truffle Chocolate 60% (Dark) - 100g
P0088,White Chocolate 90%,Lindt,Truffle,90,100,Lindt White Chocolate 90% (Truffle) - 100g
P0089,Dark Chocolate 70%,Godiva,White,70,200,Godiva Dark Chocolate 70% (White) - 200g
P0090,Dark Chocolate 50%,Hershey,Praline,50,120,Hershey Dark Chocolate 50% (Praline) - 120g
P0091,Dark Chocolate 60%,Cadbury,Dark,60,200,Cadbury Dark Chocolate 60% (Dark) - 200g
P0092,Truffle Chocolate 60%,Lindt,Praline,60,50,Lindt Truffle Chocolate 60% (Praline) - 50g
P0093,Milk Chocolate 90%,Cadbury,White,90,80,Cadbury Milk Chocolate 90% (White) - 80g
P0094,Dark Chocolate 50%,Ferrero,Dark,50,200,Ferrero Dark Chocolate 50% (Dark) - 200g
P0095,Praline Chocolate 50%,Ferrero,Praline,50,80,Ferrero Praline Chocolate 50% (Praline) - 80g
P0096,White Chocolate 50%,Hershey,Truffle,50,100,Hershey White Chocolate 50% (Truffle) - 100g
P0097,Milk Chocolate 80%,Godiva,Milk,80,50,Godiva Milk Chocolate 80% (Milk) - 50g
P0098,Truffle Chocolate 50%,Mars,Milk,50,200,Mars Truffle Chocolate 50% (Milk) - 200g
P0099,White Chocolate 80%,Lindt,White,80,120,Lindt White Chocolate 80% (White) - 120g
P0100,Truffle Chocolate 50%,Ferrero,Milk,50,200,Ferrero Truffle Chocolate 50% (Milk) - 200g
P0101,Milk Chocolate 70%,Hershey,Praline,70,100,Hershey Milk Chocolate 70% (Praline) - 100g
P0102,Dark Chocolate 50%,Cadbury,Truffle,50,50,Cadbury Dark Chocolate 50% (Truffle) - 50g
P0103,Praline Chocolate 50%,Ferrero,White,50,100,Ferrero Praline Chocolate 50% (White) - 100g
P0104,Praline Chocolate 80%,Godiva,Truffle,80,120,Godiva Praline Chocolate 80% (Truffle) - 120g
P0105,Milk Chocolate 80%,Mars,White,80,100,Mars Milk Chocolate 80% (White) - 100g
P0106,Milk Chocolate 50%,Lindt,White,50,50,Lindt Milk Chocolate 50% (White) - 50g
P0107,Truffle Chocolate 80%,Ferrero,Truffle,80,120,Ferrero Truffle Chocolate 80% (Truffle) - 120g
P0108,Dark Chocolate 60%,Lindt,Truffle,60,100,Lindt Dark Chocolate 60% (Truffle) - 100g
P0109,Truffle Chocolate 50%,Godiva,Dark,50,50,Godiva Truffle Chocolate 50% (Dark) - 50g
P0110,White Chocolate 50%,Godiva,Milk,50,80,Godiva White Chocolate 50% (Milk) - 80g
P0111,White Chocolate 80%,Cadbury,Dark,80,50,Cadbury White Chocolate 80% (Dark) - 50g
P0112,Dark Chocolate 50%,Cadbury,Truffle,50,80,Cadbury Dark Chocolate 50% (Truffle) - 80g
P0113,Truffle Chocolate 80%,Mars,White,80,50,Mars Truffle Chocolate 80% (White) - 50g
P0114,Milk Chocolate 90%,Hershey,Dark,90,80,Hershey Milk Chocolate 90% (Dark) - 80g
P0115,Milk Chocolate 90%,Hershey,Milk,90,50,Hershey Milk Chocolate 90% (Milk) - 50g
P0116,Dark Chocolate 70%,Ferrero,Dark,70,100,Ferrero Dark Chocolate 70% (Dark) - 100g
P0117,Dark Chocolate 50%,Mars,White,50,50,Mars Dark Chocolate 50% (White) - 50g
P0118,Milk Chocolate 70%,Godiva,Praline,70,120,Godiva Milk Chocolate 70% (Praline) - 120g
P0119,Truffle Chocolate 50%,Ferrero,White,50,100,Ferrero Truffle Chocolate 50% (White) - 100g
P0120,Milk Chocolate 90%,Mars,Dark,90,100,Mars Milk Chocolate 90% (Dark) - 100g
P0121,White Chocolate 60%,Mars,Praline,60,50,Mars White Chocolate 60% (Praline) - 50g
P0122,White Chocolate 70%,Lindt,Milk,70,120,Lindt White Chocolate 70% (Milk) - 120g
P0123,Praline Chocolate 50%,Cadbury,White,50,50,Cadbury Praline Chocolate 50% (White) - 50g
P0124,Truffle Chocolate 80%,Lindt,Praline,80,100,Lindt Truffle Chocolate 80% (Praline) - 100g
P0125,Milk Chocolate 60%,Lindt,Truffle,60,50,Lindt Milk Chocolate 60% (Truffle) - 50g
P0126,White Chocolate 50%,Cadbury,Truffle,50,200,Cadbury White Chocolate 50% (Truffle) - 200g
P0127,Praline Chocolate 90%,Mars,White,90,80,Mars Praline Chocolate 90% (White) - 80g
P0128,White Chocolate 80%,Godiva,Dark,80,50,Godiva White Chocolate 80% (Dark) - 50g
P0129,Truffle Chocolate 90%,Cadbury,White,90,80,Cadbury Truffle Chocolate 90% (White) - 80g
P0130,Praline Chocolate 70%,Ferrero,Milk,70,100,Ferrero Praline Chocolate 70% (Milk) - 100g
P0131,Dark Chocolate 80%,Hershey,Dark,80,80,Hershey Dark Chocolate 80% (Dark) - 80g
P0132,Dark Chocolate 70%,Lindt,Milk,70,50,Lindt Dark Chocolate 70% (Milk) - 50g
P0133,Milk Chocolate 90%,Lindt,Dark,90,100,Lindt Milk Chocolate 90% (Dark) - 100g
P0134,Praline Chocolate 70%,Mars,Praline,70,50,Mars Praline Chocolate 70% (Praline) - 50g
P0135,White Chocolate 80%,Godiva,Praline,80,200,Godiva White Chocolate 80% (Praline) - 200g
P0136,Dark Chocolate 90%,Mars,Milk,90,200,Mars Dark Chocolate 90% (Milk) - 200g
P0137,Praline Chocolate 80%,Cadbury,White,80,100,Cadbury Praline Chocolate 80% (White) - 100g
P0138,Milk Chocolate 80%,Mars,White,80,120,Mars Milk Chocolate 80% (White) - 120g
P0139,Dark Chocolate 50%,Godiva,Praline,50,100,Godiva Dark Chocolate 50% (Praline) - 100g
P0140,Dark Chocolate 80%,Lindt,Milk,80,120,Lindt Dark Chocolate 80% (Milk) - 120g
P0141,Dark Chocolate 90%,Mars,Praline,90,80,Mars Dark Chocolate 90% (Praline) - 80g
P0142,Praline Chocolate 70%,Lindt,Dark,70,200,Lindt Praline Chocolate 70% (Dark) - 200g
P0143,White Chocolate 90%,Godiva,Milk,90,50,Godiva White Chocolate 90% (Milk) - 50g
P0144,Milk Chocolate 60%,Cadbury,Praline,60,50,Cadbury Milk Chocolate 60% (Praline) - 50g
P0145,White Chocolate 70%,Godiva,Praline,70,50,Godiva White Chocolate 70% (Praline) - 50g
P0146,White Chocolate 50%,Mars,Dark,50,50,Mars White Chocolate 50% (Dark) - 50g
P0147,Dark Chocolate 60%,Mars,White,60,120,Mars Dark Chocolate 60% (White) - 120g
P0148,White Chocolate 50%,Hershey,Dark,50,200,Hershey White Chocolate 50% (Dark) - 200g
P0149,Milk Chocolate 80%,Lindt,Dark,80,80,Lindt Milk Chocolate 80% (Dark) - 80g
P0150,Milk Chocolate 50%,Hershey,Praline,50,100,Hershey Milk Chocolate 50% (Praline) - 100g
P0151,Milk Chocolate 70%,Hershey,White,70,200,Hershey Milk Chocolate 70% (White) - 200g
P0152,Milk Chocolate 70%,Lindt,Praline,70,200,Lindt Milk Chocolate 70% (Praline) - 200g
P0153,White Chocolate 70%,Cadbury,White,70,50,Cadbury White Chocolate 70% (White) - 50g
P0154,Milk Chocolate 70%,Ferrero,Praline,70,200,Ferrero Milk Chocolate 70% (Praline) - 200g
P0155,Dark Chocolate 80%,Mars,Truffle,80,50,Mars Dark Chocolate 80% (Truffle) - 50g
P0156,Dark Chocolate 60%,Cadbury,White,60,200,Cadbury Dark Chocolate 60% (White) - 200g
P0157,Dark Chocolate 80%,Cadbury,Truffle,80,200,Cadbury Dark Chocolate 80% (Truffle) - 200g
P0158,Truffle Chocolate 80%,Godiva,Dark,80,100,Godiva Truffle Chocolate 80% (Dark) - 100g
P0159,Truffle Chocolate 70%,Godiva,Milk,70,100,Godiva Truffle Chocolate 70% (Milk) - 100g
P0160,Praline Chocolate 90%,Hershey,Dark,90,100,Hershey Praline Chocolate 90% (Dark) - 100g
P0161,Praline Chocolate 60%,Ferrero,Dark,60,50,Ferrero Praline Chocolate 60% (Dark) - 50g
P0162,Dark Chocolate 60%,Cadbury,White,60,100,Cadbury Dark Chocolate 60% (White) - 100g
P0163,White Chocolate 70%,Lindt,White,70,200,Lindt White Chocolate 70% (White) - 200g
P0164,Dark Chocolate 80%,Lindt,White,80,100,Lindt Dark Chocolate 80% (White) - 100g
P0165,Praline Chocolate 70%,Godiva,Dark,70,50,Godiva Praline Chocolate 70% (Dark) - 50g
P0166,Milk Chocolate 90%,Mars,White,90,80,Mars Milk Chocolate 90% (White) - 80g
P0167,Truffle Chocolate 80%,Godiva,White,80,200,Godiva Truffle Chocolate 80% (White) - 200g
P0168,Truffle Chocolate 50%,Ferrero,Praline,50,80,Ferrero Truffle Chocolate 50% (Praline) - 80g
P0169,Milk Chocolate 60%,Lindt,White,60,80,Lindt Milk Chocolate 60% (White) - 80g
P0170,Truffle Chocolate 50%,Ferrero,Praline,50,50,Ferrero Truffle Chocolate 50% (Praline) - 50g
P0171,Dark Chocolate 50%,Mars,Dark,50,50,Mars Dark Chocolate 50% (Dark) - 50g
P0172,Truffle Chocolate 80%,Lindt,Dark,80,200,Lindt Truffle Chocolate 80% (Dark) - 200g
P0173,Dark Chocolate 60%,Lindt,Praline,60,50,Lindt Dark Chocolate 60% (Praline) - 50g
P0174,Dark Chocolate 90%,Lindt,White,90,100,Lindt Dark Chocolate 90% (White) - 100g
P0175,White Chocolate 70%,Cadbury,Praline,70,100,Cadbury White Chocolate 70% (Praline) - 100g
P0176,Truffle Chocolate 90%,Lindt,Praline,90,50,Lindt Truffle Chocolate 90% (Praline) - 50g
P0177,Praline Chocolate 50%,Ferrero,Dark,50,100,Ferrero Praline Chocolate 50% (Dark) - 100g
P0178,Praline Chocolate 80%,Hershey,Truffle,80,200,Hershey Praline Chocolate 80% (Truffle) - 200g
P0179,White Chocolate 90%,Ferrero,Dark,90,100,Ferrero White Chocolate 90% (Dark) - 100g
P0180,Truffle Chocolate 80%,Hershey,Praline,80,80,Hershey Truffle Chocolate 80% (Praline) - 80g
P0181,Praline Chocolate 50%,Ferrero,Milk,50,50,Ferrero Praline Chocolate 50% (Milk) - 50g
P0182,Praline Chocolate 60%,Mars,Truffle,60,120,Mars Praline Chocolate 60% (Truffle) - 120g
P0183,White Chocolate 50%,Mars,Praline,50,120,Mars White Chocolate 50% (Praline) - 120g
P0184,Dark Chocolate 60%,Ferrero,Truffle,60,50,Ferrero Dark Chocolate 60% (Truffle) - 50g
P0185,Milk Chocolate 70%,Ferrero,Praline,70,100,Ferrero Milk Chocolate 70% (Praline) - 100g
P0186,Dark Chocolate 60%,Godiva,Praline,60,50,Godiva Dark Chocolate 60% (Praline) - 50g
P0187,Praline Chocolate 50%,Godiva,Truffle,50,120,Godiva Praline Chocolate 50% (Truffle) - 120g
P0188,Praline Chocolate 50%,Cadbury,Dark,50,120,Cadbury Praline Chocolate 50% (Dark) - 120g
P0189,Milk Chocolate 50%,Godiva,Truffle,50,100,Godiva Milk Chocolate 50% (Truffle) - 100g
P0190,Milk Chocolate 70%,Lindt,Dark,70,200,Lindt Milk Chocolate 70% (Dark) - 200g
P0191,Truffle Chocolate 70%,Godiva,White,70,100,Godiva Truffle Chocolate 70% (White) - 100g
P0192,Milk Chocolate 50%,Ferrero,Dark,50,200,Ferrero Milk Chocolate 50% (Dark) - 200g
P0193,White Chocolate 90%,Cadbury,Dark,90,80,Cadbury White Chocolate 90% (Dark) - 80g
P0194,Truffle Chocolate 90%,Godiva,Milk,90,200,Godiva Truffle Chocolate 90% (Milk) - 200g
P0195,White Chocolate 90%,Cadbury,Dark,90,120,Cadbury White Chocolate 90% (Dark) - 120g
P0196,White Chocolate 60%,Mars,Praline,60,80,Mars White Chocolate 60% (Praline) - 80g
P0197,Truffle Chocolate 90%,Hershey,Truffle,90,120,Hershey Truffle Chocolate 90% (Truffle) - 120g
P0198,Dark Chocolate 90%,Ferrero,White,90,80,Ferrero Dark Chocolate 90% (White) - 80g
P0199,Dark Chocolate 70%,Hershey,White,70,80,Hershey Dark Chocolate 70% (White) - 80g
P0200,Milk Chocolate 50%,Cadbury,Milk,50,100,Cadbury Milk Chocolate 50% (Milk) - 100g
